number,value,datetime_start,datetime_complete,duration,params_beta,params_delta,params_phi,params_sigma_v,params_sigma_w,system_attrs_fixed_params,state
97,0.638071785532512,2026-03-28 14:58:17.102070,2026-03-28 14:58:17.324927,0 days 00:00:00.222857,0.024017820262366197,0.12080931437826067,0.9976275494589371,1.4304977166117292,0.05860688095862283,,COMPLETE
98,0.6404163577049035,2026-03-28 14:58:17.324964,2026-03-28 14:58:17.546396,0 days 00:00:00.221432,0.028640902290626734,0.10978423602073714,0.9870100465057435,1.4861560881485278,0.0628084783911509,,COMPLETE
99,0.6895266358491801,2026-03-28 14:58:17.546436,2026-03-28 14:58:17.798227,0 days 00:00:00.251791,0.04401378814365102,0.09548028996527196,0.9838731335653854,1.4563948882514284,0.044538659820340366,,COMPLETE
100,0.6783864239637093,2026-03-28 14:58:17.798268,2026-03-28 14:58:18.029090,0 days 00:00:00.230822,0.035140569631792615,0.14480062960412415,0.9914519572889768,1.3376928322105095,0.37270209155745243,,COMPLETE
101,0.6322204786492701,2026-03-28 14:58:18.029128,2026-03-28 14:58:18.247601,0 days 00:00:00.218473,0.036495027462482184,0.13707083722289964,0.9939867834794844,1.3875216222629272,0.05484027136906136,,COMPLETE
102,0.6322144069487591,2026-03-28 14:58:18.247638,2026-03-28 14:58:18.475513,0 days 00:00:00.227875,0.03958194285503917,0.16905797626932165,0.9944599311523329,1.295443915535358,0.04966091987744757,,COMPLETE
103,0.6324072480438879,2026-03-28 14:58:18.475552,2026-03-28 14:58:18.698108,0 days 00:00:00.222556,0.04359321698323753,0.1732581367813175,0.9905575053708706,1.2651934750643115,0.054752907899175175,,COMPLETE
104,0.6339021931924375,2026-03-28 14:58:18.698148,2026-03-28 14:58:18.920303,0 days 00:00:00.222155,0.031008701300025813,0.15755612447400882,0.9962677370228138,1.4987138674762315,0.038756830078639996,,COMPLETE
105,0.6323499500459504,2026-03-28 14:58:18.920340,2026-03-28 14:58:19.146462,0 days 00:00:00.226122,0.016045626113030634,0.1854335727425276,0.993926013089019,1.3096258876218256,0.058409629495797755,,COMPLETE
106,0.6377215706850183,2026-03-28 14:58:19.146501,2026-03-28 14:58:19.369053,0 days 00:00:00.222552,0.026183468057162304,0.19576563389234986,0.9978395966082724,1.3851373537804774,0.05081360785321032,,COMPLETE
107,0.6732165421583073,2026-03-28 14:58:19.369092,2026-03-28 14:58:19.595571,0 days 00:00:00.226479,0.05214543399724739,0.16928898139564522,0.9879916036284624,1.3492738329575542,0.033643359319183844,,COMPLETE
108,0.6358180576627541,2026-03-28 14:58:19.595610,2026-03-28 14:58:19.814793,0 days 00:00:00.219183,0.04502040157500272,0.15411138749375866,0.9907924868934519,1.2858627174342432,0.04415392508422978,,COMPLETE
109,0.6320269476071858,2026-03-28 14:58:19.814832,2026-03-28 14:58:20.035386,0 days 00:00:00.220554,0.02169149498035443,0.21791922539831723,0.993317888252905,1.4013603959030718,0.06341644988266085,,COMPLETE
110,0.7380871543157319,2026-03-28 14:58:20.035423,2026-03-28 14:58:20.263071,0 days 00:00:00.227648,0.022198030337373633,0.21871914162440007,0.963451301600423,1.217632786446888,0.06519559265957565,,COMPLETE
111,0.6321998303281322,2026-03-28 14:58:20.263133,2026-03-28 14:58:20.484796,0 days 00:00:00.221663,0.035969043672156066,0.20867450438200685,0.9930940760857316,1.408943799423539,0.047663654499962606,,COMPLETE
112,0.6321683514856253,2026-03-28 14:58:20.484836,2026-03-28 14:58:20.702929,0 days 00:00:00.218093,0.019635069686610676,0.2027057281361495,0.9938398618740577,1.4021190070725624,0.062015076647808004,,COMPLETE
113,0.6340168834725508,2026-03-28 14:58:20.702969,2026-03-28 14:58:20.925979,0 days 00:00:00.223010,0.01883058830493151,0.2075824281601529,0.9859689188514628,1.3108254043961522,0.08124314235310523,,COMPLETE
114,0.631698313701512,2026-03-28 14:58:20.926041,2026-03-28 14:58:21.146026,0 days 00:00:00.219985,0.032373713902813704,0.2198681994452127,0.993043976360205,1.4521487739685077,0.06319637413543236,,COMPLETE
115,0.6320877152474096,2026-03-28 14:58:21.146065,2026-03-28 14:58:21.365065,0 days 00:00:00.219000,0.0068463478204567885,0.2427335571338869,0.9905571470906387,1.446141191122205,0.07307340389709022,,COMPLETE
116,0.6441649567446563,2026-03-28 14:58:21.365106,2026-03-28 14:58:21.587423,0 days 00:00:00.222317,0.002733981511943669,0.239017496868629,0.9832074784312567,1.4994864027597459,0.07191173897189564,,COMPLETE
117,0.6457409300393359,2026-03-28 14:58:21.587463,2026-03-28 14:58:21.813651,0 days 00:00:00.226188,0.00785746919908312,0.2636723926359549,0.9997564158271186,1.4488507010773417,0.09004282118281975,,COMPLETE
118,0.6340519987118053,2026-03-28 14:58:21.813725,2026-03-28 14:58:22.036999,0 days 00:00:00.223274,0.015314508347457158,0.22197979009006608,0.9882389436264882,1.3445451678392724,0.06281079676850188,,COMPLETE
119,0.632552081642741,2026-03-28 14:58:22.037039,2026-03-28 14:58:22.264938,0 days 00:00:00.227899,0.01883251902865466,0.2517485040236273,0.9912580891534813,1.4230396561880732,0.07631905754902503,,COMPLETE
120,0.6353952061956962,2026-03-28 14:58:22.264978,2026-03-28 14:58:22.488765,0 days 00:00:00.223787,0.006812650114672594,0.2360827514824548,0.9965260876194197,1.4677710865547744,0.05965569918534888,,COMPLETE
121,0.6322558707516086,2026-03-28 14:58:22.488809,2026-03-28 14:58:22.711270,0 days 00:00:00.222461,0.027272790441162535,0.20879060565296226,0.9932545839756709,1.4127481610348191,0.06833282478746316,,COMPLETE
122,0.6428908126815329,2026-03-28 14:58:22.711310,2026-03-28 14:58:22.932080,0 days 00:00:00.220770,0.11649166113403542,0.2003160737673963,0.9901513535484131,1.3484333383345524,0.03956895861480874,,COMPLETE
123,0.6319114106759064,2026-03-28 14:58:22.932119,2026-03-28 14:58:23.153586,0 days 00:00:00.221467,0.029587496958838534,0.23376699507841484,0.9924170121254487,1.4997858691172223,0.057272430561870695,,COMPLETE
124,0.9755023406060187,2026-03-28 14:58:23.153624,2026-03-28 14:58:23.377138,0 days 00:00:00.223514,0.031147971541411603,0.23076630314354854,0.94429350606254,1.4602035501837156,0.06347110259014148,,COMPLETE
