trial,lambda_main,lambda_cross,home_adv,squash_scale,mean_mae,std_mae
52,0.09187572013316496,0.5807369927222639,0.1775283244735673,1.4492675851473518,1.3320638829257934,0.056256542413782855
77,0.04170497714908247,0.7242476185125553,0.049423252037115006,3.111551913810608,1.3320824519469383,0.05570643349569249
74,0.021939373391118303,0.6116856133030534,0.18011794823809868,1.3753032874485434,1.332127078428355,0.06182722594181524
26,0.050124553994694065,0.5323376657444842,0.31083411676049766,7.144922294225679,1.3321947740154394,0.05888447215672316
64,0.01904011818012833,0.6904354089099521,0.16445068795763196,1.569869083501819,1.3323351229721658,0.06144433067956852
86,0.10043096170777872,0.7089252615295782,0.09702438460125949,0.9699391253456029,1.3324934483783308,0.05412913347500597
167,0.015440731491382382,0.9815842055302332,0.2023635788382236,1.6232049635606687,1.3327733903145762,0.062323012151614315
197,0.013442399132440636,0.9477177697758972,0.2006156092672135,1.988899630015783,1.3335583580546548,0.06235100925548225
73,0.08024465688659113,0.6460691246466921,0.14732581358038604,1.9307791165896195,1.3338423448039356,0.056113784524146657
65,0.07217516580292199,0.6498215937192339,0.23132531497792197,2.838706217859159,1.3338479821471019,0.05865364648491533
55,0.06833976934497418,0.6434068694783832,0.027053837662175645,1.176127488720876,1.3342279031569177,0.054836632911816646
137,0.024680162815782256,0.9377668597441824,0.21607672577387638,0.835396479814337,1.334308187069595,0.0630520127561781
114,0.01670129932202266,0.9599952857947589,0.24287393783795502,1.3546701480587837,1.3343964587084771,0.0635502510772407
18,0.04812075890675356,0.627839515751213,0.3578433585700132,7.34964347529874,1.3345170600021474,0.05977862821932534
112,0.07140929953268334,0.9147870031159429,0.2230894333599017,2.367051908952116,1.3350631240106732,0.05683500571043158
21,0.051472207869263584,0.6646041146758024,0.3477396296796388,7.438863285737976,1.3352187000160647,0.05992860466772562
123,0.031569933328187236,0.8567442418530635,0.2678595053713131,0.637398345264117,1.336320106900309,0.06450538987030591
187,0.011868635227509309,0.9644179290634995,0.1871883023005932,2.0253870482219245,1.336409665462988,0.06272223728973533
92,0.06980424470133832,0.633570503128414,0.17205571665708572,4.2903890827420845,1.3369989943610943,0.05830041328840475
97,0.07630195149552746,0.5366010446562689,0.2076660179998587,3.764564377747592,1.3371056162974728,0.05904020430112896
67,0.1067436487972685,0.10237448553678041,0.19801126761508683,1.5284876614668619,1.3385405333754095,0.055923603890335065
24,0.053549693071126246,0.33237888370545066,0.39635954749707475,7.89771019755197,1.3390535768999101,0.061565839594279796
40,0.07000747748937389,0.70274897570157,0.2665438084165771,7.5227741015539955,1.3404052303105374,0.0608044409104145
